1,13,1900,2000,reserve
2,13,1630,1730,plan
3,13,2000,2100,reserve
4,13,1100,1300,plan
5,14,900,1500,plan
6,13,1400,1500,reserve
7,14,1500,1730,reserve
8,14,1730,2000,reserve
9,16,930,1030,reserve
10,16,1030,1130,reserve
11,16,1130,1230,reserve
12,16,1300,1400,reserve
13,16,1400,1500,reserve
14,16,1500,1600,reserve
15,16,1600,1700,reserve
16,17,1000,1300,reserve
17,17,1330,1630,reserve
18,22,2000,2100,reserve
19,20,1500,1600,reserve
20,20,1730,2100,reserve
21,20,1100,1300,plan
22,21,1030,1230,reserve
23,21,1230,1500,reserve
24,21,1600,2100,plan
25,22,1300,1500,reserve
26,22,1530,1630,reserve
27,22,1800,1900,reserve
28,22,1900,2000,reserve
29,24,1330,1530,reserve
30,24,900,1300,plan
31,26,1000,1300,reserve
32,26,1600,1700,reserve
33,26,1900,2000,reserve
34,26,1400,1530,plan
